名称,helm,pauldron,armor,taorobe,bracelet,glove,magesigil,belt,pant,boot,necklace,ring,charm1,charm2,charm3,sword,woodsword,sword2h,ugs,dao,katana,dao2h,axe,axe2h,mace,mace2h,dagger,staff,magestaff,polearm,instrument,rune,runeword,set
最小毒素伤害(pdmglo),,,,,,,,,,,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
最大物理伤害(xdmghi),,,,,,,,,,,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
最大火焰伤害(fdmghi),,,,,,,,,,,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
最大风雷伤害(tdmghi),,,,,,,,,,,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
最大神圣伤害(hdmghi),,,,,,,,,,,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
最大毒素伤害(pdmghi),,,,,,,,,,,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
物理减免(xdr),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,,,,,
火焰减免(fdr),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,,,,,
风雷减免(tdr),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,,,,,
神圣减免(hdr),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,,,,,
毒素减免(pdr),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,,,,,
物理增伤(xed),,,,,,,,,,,✔,✔,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
火焰增伤(fed),,,,,,,,,,,✔,✔,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
风雷增伤(ted),,,,,,,,,,,✔,✔,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
神圣增伤(hed),,,,,,,,,,,✔,✔,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
毒素增伤(ped),,,,,,,,,,,✔,✔,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
对不死增伤(ued),,,,,,,,,,,✔,✔,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
对妖魔增伤(ded),,,,,,,,,,,✔,✔,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
对精英增伤(ced),,,,,,,,,,,✔,✔,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
持续性效果增伤(doted),,,,,,,,,,,✔,✔,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
治疗增强(hled),,,,,,,,,,,✔,✔,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
对第一列增伤(col1ed),,,,,,,,,,,✔,✔,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
对第二三列增伤(col23ed),,,,,,,,,,,✔,✔,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
召唤物增伤(sumed),,,,,,,,,,,✔,✔,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
基础物理抗性(xres),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
基础火焰抗性(fres),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
基础风雷抗性(tres),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
基础神圣抗性(hres),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
基础毒素抗性(pres),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
对不死减伤(ures),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
对妖魔减伤(dres),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
对精英减伤(cres),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
对第一列敌人减伤(c1res),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
对第二三列敌人减伤(c23res),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
对持续性效果减伤(dotres),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
你的召唤物减伤(sumres),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
反弹物理伤害(xref),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
反弹火焰伤害(fref),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
反弹风雷伤害(tref),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
反弹神圣伤害(href),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
反弹毒素伤害(pref),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
诅咒(curs),,,,,,,,,,,✔,✔,,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
祝福(bles),,,,,,,,,,,✔,✔,,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
幸运(luck),,,✔,✔,✔,✔,✔,,✔,,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
获得金币(eg),✔,✔,✔,✔,✔,,,✔,,,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
速度(spd),,,,,✔,,,,,✔,✔,✔,,,,,,,,,,,,,,,✔,,,,,,,
士气(moral),✔,✔,,,,✔,✔,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
反馈(d2m),,✔,✔,✔,,,,✔,,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
额外经验(expex),✔,,,,,✔,✔,✔,✔,,✔,,✔,✔,✔,,,,,,,,,,,,,,,,,,,
商谈(barg),,,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,,,,,
敌人治疗效果降低(pmh),,,,,,,,,,,✔,✔,,,,,,✔,✔,,,✔,,✔,,✔,,,,,,,,
插槽数量(sok),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
闪避(doge),,,✔,✔,✔,,,,✔,✔,✔,✔,,,,,,,,✔,✔,,,,,,✔,,,,,,,
法术闪避(mdoge),,,✔,✔,✔,,,,✔,✔,✔,✔,,,,,,,,✔,✔,,,,,,✔,,,,,,,
准确(hit),✔,✔,,,,✔,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,✔,,,,
法术准确(mhit),,,,,,,,,,,✔,✔,✔,✔,✔,,,,,,,,,,,,,✔,,,✔,,,
暴击几率(crit),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
暴击伤害(critd),,,,,✔,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
法术暴击几率(scrit),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
法术暴击伤害(scritd),,,,,✔,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
净化(debuffrd),,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,
韧性(resil),,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,
被击触发(prochit),,,✔,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
攻击触发(procatk),,,,,✔,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
击杀触发(prockill),,,,,,,,,,,,,,,,✔,,✔,,✔,,✔,✔,✔,✔,✔,✔,✔,,✔,✔,,,
火焰系技能等级(flvlmage),,,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,,,,,
风雷系技能等级(tlvlmage),,,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,,,,,
魔法师技能等级(magelvlmage),,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,
战术系技能等级(blvlwarr),,,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,,,,,
体术系技能等级(xlvlwarr),,,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,,,,,
武士技能等级(warrlvlwarr),,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,
神圣系技能等级(hlvlwlok),,,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,,,,,
道法系技能等级(plvlwlok),,,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,,,,,
道士技能等级(wlklvlwlk),,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,
所有技能等级(alvl),,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,
召唤系技能等级(slvl),,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,
防护系技能等级(glvl),,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,
火球术(限法师)(skfbltmage),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
抗拒火环(限法师)(skfrngmage),,,,,✔,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
地狱火(限法师)(skfinfmage),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
大火球(限法师)(skfbalmage),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
爆裂火焰(限法师)(skfblsmage),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
火墙术(限法师)(skfwalmage),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
诱惑之光(限法师)(sktchmmage),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
雷电术(限法师)(sktbltmage),,,,,✔,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
疾光电影(限法师)(sktltnmage),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
地狱雷光(限法师)(sktnovmage),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
魔法盾(限法师)(sktshdmage),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
冰咆哮(限法师)(sktblzmage),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
基础剑术(限战士)(skbbaswarr),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
攻杀剑术(限战士)(skbcrtwarr),,,,,✔,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
刺杀剑术(限战士)(skbthrwarr),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
半月弯刀(限战士)(skbclvwarr),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
十字斩(限战士)(skbcrzwarr),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
烈火剑法(限战士)(skbfblwarr),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
铁布衫(限战士)(skxdefwarr),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
猎犬步伐(限战士)(skxdogwarr),,,,,✔,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
战斗指挥(限战士)(skxctawarr),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
龙皮术(限战士)(skxwmswarr),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
野蛮冲撞(限战士)(skxchgwarr),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
霜冻踏地(限战士)(skxtstwarr),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
治愈术(限道士)(skhhelwlok),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
幽灵盾(限道士)(skhgsdwlok),,,,,✔,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
隐身术(限道士)(skhinvwlok),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
神圣战甲术(限道士)(skhhsdwlok),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
困魔咒(限道士)(skhlokwlok),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
群体治愈术(限道士)(skhmhlwlok),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
精神力战法(限道士)(skpbaswlok),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
施毒术(限道士)(skppoiwlok),,,,,✔,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
召唤骷髅(限道士)(skpsklwlok),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
灵魂火符(限道士)(skprunwlok),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
降魔剑术(限道士)(skpcblwlok),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
召唤神兽(限道士)(skpsdmwlok),,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,,
